Date,Country,City,Specie,count,min,max,median,variance
6/13/2020,MN,Ulan Bator,o3,73,1.3,40,16.3,1367.42
12/31/2019,MN,Ulan Bator,o3,42,0.5,8.2,3.3,69.43
1/6/2020,MN,Ulan Bator,o3,64,0.5,9,3.7,54.23
1/16/2020,MN,Ulan Bator,o3,73,0.5,8.2,3.7,57.27
1/25/2020,MN,Ulan Bator,o3,85,0.5,9.8,4.5,66.45
2/15/2020,MN,Ulan Bator,o3,130,0.5,39.6,6.1,792.01
3/23/2020,MN,Ulan Bator,o3,111,1.3,44.5,7.8,1454.7
4/6/2020,MN,Ulan Bator,o3,100,7.4,28.5,17.9,243.03
1/19/2020,MN,Ulan Bator,o3,102,0.5,12.2,4.8,92.72
1/31/2020,MN,Ulan Bator,o3,129,1.3,14.9,7.8,135.02
5/18/2020,MN,Ulan Bator,o3,86,2.9,23.3,8.2,262.99
6/28/2020,MN,Ulan Bator,o3,47,9.9,20.4,15.3,78.14
7/5/2020,MN,Ulan Bator,o3,70,2.1,46.1,12.8,1641.36
1/1/2020,MN,Ulan Bator,o3,29,0.5,7.4,1.7,81.07
4/13/2020,MN,Ulan Bator,o3,107,4.9,26.4,11.4,248.02
5/10/2020,MN,Ulan Bator,o3,89,6.3,22.9,12.2,168.59
7/20/2020,MN,Ulan Bator,o3,119,0.7,38.2,10.1,1024.62
1/22/2020,MN,Ulan Bator,o3,73,0.5,10.6,4.5,73.02
2/27/2020,MN,Ulan Bator,o3,112,5,84.1,11.4,1919.17
4/30/2020,MN,Ulan Bator,o3,111,3.3,33.3,9.8,530.22
5/6/2020,MN,Ulan Bator,o3,88,3.3,24.1,8.6,279.15
5/24/2020,MN,Ulan Bator,o3,89,1.6,24.6,9.7,314.02
7/19/2020,MN,Ulan Bator,o3,117,0.5,36.6,14,1012.87
1/23/2020,MN,Ulan Bator,o3,87,0.5,8.2,3.7,42.62
2/9/2020,MN,Ulan Bator,o3,119,0.5,15.7,4.5,116.27
3/4/2020,MN,Ulan Bator,o3,128,0.5,47,9.8,1361.81
4/14/2020,MN,Ulan Bator,o3,104,7.8,28.5,15.1,325.65
7/2/2020,MN,Ulan Bator,o3,69,5.7,42.3,15.1,933.74
1/26/2020,MN,Ulan Bator,o3,89,0.5,9.6,4.5,73.27
3/5/2020,MN,Ulan Bator,o3,119,1.3,25.8,10.2,411.58
3/27/2020,MN,Ulan Bator,o3,24,9,25.2,15.9,273.48
3/31/2020,MN,Ulan Bator,o3,111,5.3,27.1,11.4,275.52
5/5/2020,MN,Ulan Bator,o3,80,6.1,26.9,13.5,287.17
5/11/2020,MN,Ulan Bator,o3,91,3.7,32,13.9,547.48
5/12/2020,MN,Ulan Bator,o3,91,5.6,23.6,12.2,212.08
7/14/2020,MN,Ulan Bator,o3,92,1.1,40.7,13,1406.01
7/8/2020,MN,Ulan Bator,o3,99,0.5,43.3,17.3,1171.57
1/13/2020,MN,Ulan Bator,o3,60,0.7,8.2,4.5,48.15
1/28/2020,MN,Ulan Bator,o3,91,0.5,11,6.3,88.42
2/14/2020,MN,Ulan Bator,o3,135,3.7,40.9,9.6,801.75
2/24/2020,MN,Ulan Bator,o3,110,6.1,60.4,12.9,2507.09
4/16/2020,MN,Ulan Bator,o3,116,3.6,29.1,9.8,354.04
4/17/2020,MN,Ulan Bator,o3,110,2.9,26.2,11.8,406.8
6/23/2020,MN,Ulan Bator,o3,44,3,29.5,12.6,551.92
2/2/2020,MN,Ulan Bator,o3,137,2.4,15.1,7,87.34
2/11/2020,MN,Ulan Bator,o3,72,0.5,28.7,3.3,287.17
4/29/2020,MN,Ulan Bator,o3,109,6.1,29.7,12.2,456.14
6/11/2020,MN,Ulan Bator,o3,111,5.7,31.9,11.3,575.38
7/9/2020,MN,Ulan Bator,o3,94,1.3,42.5,15.8,1300.83
1/11/2020,MN,Ulan Bator,o3,76,0.9,9,4.1,50.69
3/13/2020,MN,Ulan Bator,o3,141,1.3,21.8,9.4,203.71
3/16/2020,MN,Ulan Bator,o3,109,5.3,30.5,13,274.88
4/9/2020,MN,Ulan Bator,o3,117,4.1,26.2,14.7,347.21
4/23/2020,MN,Ulan Bator,o3,110,1.3,29.3,8.8,390.86
5/14/2020,MN,Ulan Bator,o3,91,3.7,22.4,11.2,239.58
6/22/2020,MN,Ulan Bator,o3,46,0.9,28.7,10,685.22
4/20/2020,MN,Ulan Bator,o3,93,3.7,26,13,273.22
1/5/2020,MN,Ulan Bator,o3,73,0.5,15.9,7.4,118.93
1/9/2020,MN,Ulan Bator,o3,65,0.5,11.4,4.5,93.69
1/10/2020,MN,Ulan Bator,o3,80,0.9,12.8,4.9,122.43
2/10/2020,MN,Ulan Bator,o3,106,0.5,17.5,4.5,182.57
2/20/2020,MN,Ulan Bator,o3,110,5.6,64.6,13.5,2232.39
2/22/2020,MN,Ulan Bator,o3,119,0.9,43.3,5.3,1879.68
3/29/2020,MN,Ulan Bator,o3,75,3.9,25,13.5,293.03
4/26/2020,MN,Ulan Bator,o3,111,2.1,32.3,12.2,502.4
5/7/2020,MN,Ulan Bator,o3,80,8.3,22.8,13,178.34
1/27/2020,MN,Ulan Bator,o3,92,0.5,10,5.3,76.79
2/16/2020,MN,Ulan Bator,o3,131,0.5,30.3,5.3,562.12
3/26/2020,MN,Ulan Bator,o3,24,20.2,28.1,23.2,57.6
4/4/2020,MN,Ulan Bator,o3,112,1.5,25.4,9,436.05
6/25/2020,MN,Ulan Bator,o3,43,2.9,19.7,14.5,328.58
1/2/2020,MN,Ulan Bator,o3,18,0.5,7,6.1,69.18
1/21/2020,MN,Ulan Bator,o3,56,0.5,7.8,1.7,56.05
6/8/2020,MN,Ulan Bator,o3,108,6.5,31.7,11,534.11
6/9/2020,MN,Ulan Bator,o3,111,1.7,35.2,9.8,776.85
6/30/2020,MN,Ulan Bator,o3,78,2.1,20.4,7.4,275.03
6/3/2020,MN,Ulan Bator,o3,130,1.7,23.4,9.2,253.45
12/30/2019,MN,Ulan Bator,o3,58,0.9,8.4,4.1,57.93
2/8/2020,MN,Ulan Bator,o3,112,0.5,15.7,4.7,139.55
3/8/2020,MN,Ulan Bator,o3,111,1.7,28.3,13.5,366.54
3/14/2020,MN,Ulan Bator,o3,131,0.9,20.4,11.5,212.36
3/18/2020,MN,Ulan Bator,o3,106,7.9,29.3,17.5,329.49
5/2/2020,MN,Ulan Bator,o3,93,2.1,16.6,9,147.35
5/30/2020,MN,Ulan Bator,o3,84,4.5,17.9,10.4,114.97
6/6/2020,MN,Ulan Bator,o3,116,8.2,26.9,14.7,292.82
6/26/2020,MN,Ulan Bator,o3,46,3.6,22,12.8,230.21
7/4/2020,MN,Ulan Bator,o3,68,0.5,45.9,12.4,1602.04
1/12/2020,MN,Ulan Bator,o3,52,0.5,7.8,1.8,67.87
1/14/2020,MN,Ulan Bator,o3,49,0.5,8.4,2.5,78.52
3/3/2020,MN,Ulan Bator,o3,36,0.9,31.5,12.2,739.2
4/3/2020,MN,Ulan Bator,o3,109,1.7,24.8,8.3,293.6
5/17/2020,MN,Ulan Bator,o3,72,7,20.8,10.6,181.63
6/2/2020,MN,Ulan Bator,o3,100,2.9,24.4,12.4,282.8
6/5/2020,MN,Ulan Bator,o3,123,1.3,27.7,13.3,469.33
7/10/2020,MN,Ulan Bator,o3,86,1.3,36.6,8.6,1214.07
4/2/2020,MN,Ulan Bator,o3,107,1.7,23.2,7.8,330.69
5/22/2020,MN,Ulan Bator,o3,76,4.1,19.1,8.2,175.23
6/14/2020,MN,Ulan Bator,o3,71,3.7,51.3,13.5,1550.89
7/1/2020,MN,Ulan Bator,o3,58,5.3,21.2,11.4,213.36
1/4/2020,MN,Ulan Bator,o3,40,0.9,8.2,3.3,62.48
1/17/2020,MN,Ulan Bator,o3,60,0.5,9.2,2.1,80.31
2/21/2020,MN,Ulan Bator,o3,116,0.9,28.9,10.6,315.88
3/15/2020,MN,Ulan Bator,o3,111,3.7,24.8,9.4,410.43
3/24/2020,MN,Ulan Bator,o3,109,2.1,36.2,9.4,927.6
4/25/2020,MN,Ulan Bator,o3,117,4,35.2,13.9,667.13
4/27/2020,MN,Ulan Bator,o3,116,4.1,33.8,11.3,583.2
1/30/2020,MN,Ulan Bator,o3,107,0.5,10.3,5.3,56.08
2/29/2020,MN,Ulan Bator,o3,113,2.6,42.9,11,744.1
3/12/2020,MN,Ulan Bator,o3,131,2.1,23.2,11.4,167.15
4/1/2020,MN,Ulan Bator,o3,116,2.6,23,8.5,193.87
6/12/2020,MN,Ulan Bator,o3,106,5.3,33.8,13.6,617.11
7/13/2020,MN,Ulan Bator,o3,90,0.9,47.2,12,1399.99
7/18/2020,MN,Ulan Bator,o3,115,1.7,35.8,12.6,993.79
1/20/2020,MN,Ulan Bator,o3,97,0.9,8.4,3.3,50.39
3/20/2020,MN,Ulan Bator,o3,113,5.3,39.6,12.8,891.02
4/10/2020,MN,Ulan Bator,o3,110,3.3,28.9,9.9,420.61
4/18/2020,MN,Ulan Bator,o3,111,8,29.5,15.5,366.2
5/28/2020,MN,Ulan Bator,o3,73,4.5,19.5,8.2,170.12
6/21/2020,MN,Ulan Bator,o3,47,2.7,20.2,14.7,324.42
1/18/2020,MN,Ulan Bator,o3,78,0.5,10.8,4.1,80.58
3/10/2020,MN,Ulan Bator,o3,135,2.1,24.4,8.2,320.81
3/17/2020,MN,Ulan Bator,o3,110,2.1,20.2,7.8,313.91
3/19/2020,MN,Ulan Bator,o3,110,6,25.8,11,341.4
