date,pm25,pm10,o3,no2,so2,co,AQI
2019-01-02,414,641,9,49,12,29,641
2019-01-03,480,604,10,39,9,27,604
2019-01-04,496,354,6,30,7,16,496
2019-01-05,352,454,11,38,10,19,454
2019-01-06,378,204,9,30,8,15,378
2019-01-07,261,211,8,29,8,13,261
2019-01-08,271,168,11,23,7,16,271
2019-01-09,240,156,14,23,7,11,240
2019-01-10,224,222,12,27,9,13,224
2019-01-11,242,438,11,39,10,22,438
2019-01-12,378,497,14,39,9,27,497
2019-01-13,417,407,10,34,9,25,417
2019-01-14,391,139,14,21,7,9,391
2019-01-15,176,175,10,28,8,10,176
2019-01-16,222,475,8,45,13,19,475
2019-01-17,381,418,10,36,11,20,418
2019-01-18,384,289,4,32,8,24,384
2019-01-19,289,385,6,43,13,19,385
2019-01-20,317,664,8,65,14,37,664
2019-01-21,478,378,11,41,11,23,478
2019-01-22,311,75,3,24,8,10,311
2019-01-23,156,178,4,27,8,13,178
2019-01-24,247,197,5,25,8,13,247
2019-01-25,230,108,17,24,11,9,230
2019-01-26,174,114,28,21,10,9,174
2019-01-27,180,149,20,21,11,10,180
2019-01-28,221,201,21,23,11,11,221
2019-01-29,263,167,21,25,12,12,263
2019-01-30,220,293,24,27,19,18,293
2019-01-31,307,359,19,29,16,23,359
2019-02-01,316,218,15,28,14,13,316
2019-02-02,289,242,7,26,8,15,289
2019-02-03,286,169,14,28,10,12,286
2019-02-04,236,241,26,47,14,19,241
2019-02-05,270,564,21,66,17,37,564
2019-02-06,415,301,17,44,9,19,415
2019-02-07,313,126,12,23,7,9,313
2019-02-08,174,119,18,27,7,10,174
2019-02-09,168,139,21,24,8,11,168
2019-02-10,182,201,22,34,10,13,201
2019-02-11,243,264,30,42,10,17,264
2019-02-12,265,328,35,43,10,18,328
2019-02-13,308,314,40,56,9,27,314
2019-02-14,300,211,15,39,9,16,300
2019-02-15,259,154,13,34,9,12,259
2019-02-16,225,134,10,25,7,11,225
2019-02-17,191,134,27,31,8,12,191
2019-02-18,192,199,21,32,9,13,199
2019-02-19,226,186,30,43,10,15,226
2019-02-20,225,187,6,45,10,14,225
2019-02-21,214,202,19,37,10,17,214
2019-02-22,180,143,13,27,5,10,180
2019-02-23,169,104,22,27,4,8,169
2019-02-24,150,118,30,35,6,9,150
2019-02-25,176,135,23,38,6,10,176
2019-02-26,170,135,11,33,7,9,170
2019-02-27,172,77,8,24,5,6,172
2019-02-28,151,151,1,37,6,17,151
2019-03-01,182,96,24,21,5,6,182
2019-03-02,136,141,4,41,7,15,141
2019-03-03,205,117,16,35,6,10,205
2019-03-04,172,127,15,32,6,9,172
2019-03-05,181,112,17,27,5,8,181
2019-03-06,161,136,17,32,7,8,161
2019-03-07,177,165,32,32,7,11,177
2019-03-08,192,143,28,32,8,12,192
2019-03-15,191,118,20,28,9,9,191
2019-03-16,159,113,30,29,8,8,159
