date, pm25, pm10, o3, no2, so2, co
2020-07-02, 139, 87, 17, 13, 9, 14
2020-07-03, 147, 93, 13, 14, 10, 14
2020-07-04, 155, 71, 10, 11, 9, 12
2020-07-05, 125, 43, 11, 10, 8, 12
2020-07-06, 85, 68, 5, 12, 8, 12
2020-07-07, 143, 51, 10, 8, 8, 12
2020-07-08, 79, 50, 5, 10, 8, 13
2020-07-09, 91, 58, 5, 12, 10, 12
2020-07-10, 118, 57, 5, 12, 11, 14
2020-07-11, 85, 49, 7, 13, 8, 12
2020-07-12, 78, 42, 2, 12, 6, 10
2020-07-13, 72, 72, 4, 14, 7, 11
2020-07-14, 90, 85, 2, 12, 9, 12
2020-07-15, 106, 69, 25, 10, 8, 11
2020-07-16, 120, 60, 4, 12, 8, 11
2020-07-17, 106, 63, 5, 12, 7, 12
2020-07-18, 132, 66, 4, 12, 8, 11
2020-07-19, 119, 45, 2, 11, 8, 10
2020-07-20, 97, 53, 8, 13, 8, 11
2020-07-21, 77, 45, 3, 12, 7, 10
2020-07-22, 90, 39, 3, 12, 7, 10
2020-06-04, 139, 104, 10, 18, 9, 14
2020-06-05, 156, 72, 36, 13, 9, 13
2020-06-06, 117, 68, 43, 14, 9, 12
2020-06-07, 105, 64, 25, 12, 9, 11
2020-06-08, 102, 78, 30, 13, 11, 13
2020-06-09, 131, 87, 21, 16, 11, 14
2020-06-10, 142, 113, 16, 21, 10, 15
2020-06-11, 134, 82, 12, 14, 10, 13
2020-06-12, 135, 90, 10, 14, 10, 14
2020-06-13, 150, 76, 8, 15, 8, 13
2020-06-14, 141, 83, 5, 13, 11, 15
2020-06-15, 148, 82, 24, 12, 13, 13
2020-06-16, 130, 76, 28, 14, 10, 13
2020-06-17, 108, 68, 20, 11, 10, 12
2020-06-18, 102, 69, 15, 12, 10, 13
2020-06-19, 111, 119, 11, 13, 9, 13
2020-06-20, 138, 74, 12, 13, 12, 12
2020-06-21, 105, 73, 9, 15, 11, 13
2020-06-22, 121, 62, 18, 13, 11, 14
2020-06-23, 123, 72, 6, 11, 10, 13
2020-06-24, 99, 67, 8, 9, 12, 11
2020-06-27, 114, 102, 5, 14, 11, 13
2020-06-28, 117, 175, 6, 14, 11, 12
2020-06-29, 128, 111, 9, 12, 9, 11
2020-06-30, 111, 85, 11, 11, 10, 11
2020-07-01, 135, 80, 14, 11, 9, 12
2020-05-02, 151, 79, 22, 9, 5, 13
2020-05-03, 99, 62, 13, 9, 5, 12
2020-05-04, 96, 45, 23, 9, 5, 13
2020-05-05, 81, 72, 23, 12, 6, 13
2020-05-06, 126, 106, 26, 11, 6, 13
2020-05-07, 144, 58, 32, 10, 5, 13
2020-05-08, 93, 76, 36, 11, 5, 13
2020-05-09, 124, 83, 33, 10, 6, 13
2020-05-10, 140, 103, 42, 10, 5, 11
2020-05-11, 114, 68, 36, 11, 5, 11
2020-05-12, 120, 70, 34, 11, 6, 12
2020-05-13, 123, 104, 32, 12, 6, 15
2020-05-14, 159, 81, 28, 12, 6, 13
2020-05-15, 144, 74, 28, 13, 6, 14
2020-05-16, 125, 89, 34, 15, 6, 14
2020-05-17, 152, 113, 37, 17, 8, 13
2020-05-18, 177, 119, 34, 19, 12, 15
2020-05-19, 175, 131, 31, 22, 10, 15
2020-05-20, 180, 97, 29, 17, 9, 13
