date, pm25, pm10, o3, no2, so2, co
2020-07-02, 83, 49, 13, 9, 1, 7
2020-07-03, 99, 39, 10, 11, 11, 5
2020-07-04, 84, 55, 19, 12, 6, 6
2020-07-05, 110, 39, 15, 7, 2, 5
2020-07-06, 89, 48, 10, 13, 4, 9
2020-07-07, 94, 53, 18, 9, 3, 6
2020-07-08, 107, 46, 11, 6, 2, 4
2020-07-10, 69, 27, 11, 9, 3, 6
2020-07-12, 53, 30, 13, 4, 2, 2
2020-07-13, 68, 45, 14, 8, 1, 5
2020-07-15, 55, 28, 7, 5, 3, 3
2020-07-16, 81, 37, 7, 10, 7, 7
2020-07-17, 73, 60, 5, 12, 11, 10
2020-07-18, 119, 68, 13, 13, 8, 9
2020-07-19, 128, 38, 12, 9, 5, 6
2020-07-20, 96, 37, 16, 11, 3, 7
2020-07-21, 105, 132, 20, 13, 7, 10
2020-07-22, 131, 60, 17, 12, 4, 7
2020-06-02, 104, 52, 11, 14, 9, 21
2020-06-03, 105, 50, 9, 15, 7, 21
2020-06-04, 107, 57, 11, 14, 5, 22
2020-06-05, 116, 45, 8, 11, 7, 19
2020-06-06, 102, 60, 11, 13, 7, 20
2020-06-07, 114, 55, 14, 11, 8, 18
2020-06-08, 117, 67, 17, 16, 10, 22
2020-06-09, 134, 64, 14, 16, 7, 21
2020-06-10, 127, 40, 12, 10, 4, 18
2020-06-11, 78, 24, 11, 5, 2, 9
2020-06-17, 93, 22, 3, 6, 4, 4
2020-06-18, 58, 28, 8, 6, 3, 4
2020-06-19, 67, 46, 6, 10, 4, 7
2020-06-20, 103, 54, 15, 10, 3, 9
2020-06-21, 109, 39, 12, 7, 1, 6
2020-06-22, 86, 40, 11, 10, 4, 6
2020-06-23, 87, 37, 14, 8, 1, 5
2020-06-24, 78, 51, 9, 15, 7, 7
2020-06-25, 96, 51, 13, 11, 4, 6
2020-06-26, 109, 51, 10, 11, 2, 10
2020-06-27, 105, 55, 13, 10, 2, 8
2020-06-28, 101, 35, 11, 5, 1, 4
2020-06-29, 84, 35, 12, 8, 2, 5
2020-06-30, 85, 43, 7, 11, 5, 6
2020-07-01, 88, 43, 12, 11, 2, 6
2020-05-02, 58, 27, 12, 7, 1, 7
