date,pm25,pm10,o3,no2,so2,co,AQI
2020-01-02,116,16,25,28,2,4,116
2020-01-03,56,15,27,27,2,4,56
2020-01-04,45,16,14,31,2,5,45
2020-01-05,46,11,22,28,1,4,46
2020-01-06,36,9,27,9,2,4,36
2020-01-07,29,14,19,23,2,4,29
2020-01-08,41,21,21,28,2,5,41
2020-01-09,52,37,22,26,4,4,52
2020-01-10,36,12,21,28,3,5,36
2020-01-11,44,17,29,25,2,4,44
2020-01-12,31,12,29,24,3,4,31
2020-01-13,26,13,27,29,4,4,29
2020-01-14,25,9,27,16,4,3,27
2020-01-15,25,10,23,32,4,4,32
2020-01-16,37,16,19,12,3,4,37
2020-01-17,43,13,24,23,2,5,43
2020-01-18,35,20,13,30,2,6,35
2020-01-19,48,26,12,27,3,7,48
2020-01-20,49,44,1,39,5,11,49
2020-01-22,78,30,7,32,2,5,78
2020-01-23,83,27,14,27,1,3,83
2020-01-24,68,27,10,36,3,4,68
2020-01-25,41,35,16,16,3,3,41
2020-01-26,80,27,21,15,4,4,80
2020-01-27,63,13,27,24,5,6,63
2020-01-28,44,16,31,37,6,10,44
2020-01-29,29,23,25,37,5,9,37
2020-01-30,40,15,26,31,5,7,40
2020-01-31,29,13,24,29,5,6,29
2020-02-01,24,22,30,29,5,7,30
2020-02-02,49,22,28,29,5,7,49
2020-02-03,52,24,29,31,5,7,52
2020-02-04,50,23,26,30,3,7,50
2020-02-05,45,39,10,40,4,9,45
2020-02-06,72,42,8,42,4,7,72
2020-02-07,83,41,16,35,4,6,83
2020-02-08,93,26,28,30,5,4,93
2020-02-09,55,16,33,16,6,2,55
2020-02-10,44,18,30,34,7,5,44
2020-02-11,42,21,31,31,7,6,42
2020-02-12,41,19,28,37,6,6,41
2020-02-13,41,17,32,37,8,4,41
2020-02-14,47,28,28,39,6,5,47
2020-02-15,55,12,26,25,10,2,55
2020-02-16,38,10,34,27,9,3,38
2020-02-17,36,21,31,33,7,5,36
2020-02-18,45,18,29,34,6,5,45
2020-02-19,40,20,28,41,6,5,41
2020-02-20,45,13,33,32,7,4,45
2020-02-21,34,23,32,33,6,5,34
2020-02-22,44,22,32,26,6,3,44
2020-02-23,52,13,30,23,3,3,52
2020-02-24,36,12,27,30,3,4,36
2020-02-25,34,17,28,38,4,6,38
2020-02-26,35,17,28,34,4,7,35
2020-02-27,36,16,28,33,3,6,36
2020-02-28,41,18,22,35,3,5,41
2020-02-29,44,23,27,28,3,5,44
2020-03-01,46,15,29,29,3,7,46
2020-03-02,35,13,25,32,3,6,35
2020-03-03,34,26,10,40,5,9,40
2020-03-04,54,22,21,42,4,8,54
2020-03-05,52,20,24,26,5,3,52
2020-03-06,59,28,26,36,4,6,59
2020-03-07,63,29,29,37,3,6,63
2020-03-08,61,16,33,29,4,4,61
2020-03-09,42,17,28,37,3,5,42
2020-03-10,39,10,25,30,3,3,39
2020-03-11,35,14,34,39,3,4,39
2020-03-12,30,19,27,35,3,5,35
2020-03-13,43,18,27,33,2,6,43
2020-03-14,45,13,27,21,1,4,45
2020-03-15,29,10,23,11,1,3,29
2020-03-16,23,14,12,20,1,6,23
2020-03-17,38,15,18,14,1,4,38
2020-03-18,31,19,23,16,2,3,31
2020-03-19,41,22,24,22,3,2,41
2020-03-20,57,17,27,16,3,3,57
2020-03-21,35,19,27,15,3,5,35
2020-03-22,41,20,26,14,3,5,41
2020-03-23,53,26,21,29,4,7,53
2020-03-24,58,25,32,28,3,5,58
2020-03-25,60,36,28,30,4,7,60
2020-03-26,80,47,34,21,5,6,80
2020-03-27,99,40,40,16,9,4,99
2020-03-28,90,30,37,9,4,4,90
2020-03-29,56,21,34,6,3,6,56
2020-03-30,29,17,32,12,3,4,32
2020-03-31,26,18,33,15,5,5,33
2020-04-01,38,22,31,24,6,5,38
2020-04-02,58,15,32,32,8,5,58
2020-04-03,38,20,32,25,9,5,38
2020-04-04,46,21,36,19,9,4,46
2020-04-05,56,18,40,13,11,4,56
2020-04-06,53,18,33,25,7,3,53
2020-04-07,36,30,35,25,4,4,36
2020-04-08,49,52,38,28,4,3,52
2020-04-09,69,54,38,27,5,3,69
2020-04-10,57,46,38,23,4,3,57
2020-04-11,76,38,39,26,5,3,76
2020-04-12,74,29,43,19,7,3,74
2020-04-13,61,19,31,7,4,4,61
2020-04-14,46,18,32,17,4,3,46
2020-04-15,44,31,31,24,5,2,44
2020-04-16,70,51,31,25,6,2,70
2020-04-17,115,23,28,12,5,3,115
2020-04-18,50,27,24,13,6,3,50
2020-04-19,59,23,37,11,6,2,59
2020-04-20,57,31,35,13,6,2,57
2020-04-21,51,32,37,13,6,2,51
2020-04-22,42,32,41,17,6,2,42
2020-04-23,47,36,43,21,7,2,47
2020-04-24,54,35,45,20,7,2,54
2020-04-25,49,21,32,13,7,2,49
2020-04-26,34,22,41,16,8,2,41
2020-04-27,37,29,32,19,7,3,37
2020-04-28,59,12,25,16,2,2,59
2020-04-29,43,17,27,16,3,2,43
2020-04-30,43,15,27,16,3,2,43
2020-05-01,36,16,26,19,4,2,36
2020-05-02,38,13,30,19,3,2,38
2020-05-03,37,16,31,15,2,3,37
2020-05-04,49,20,34,13,1,2,49
2020-05-06,28,24,37,16,1,2,37
2020-05-07,53,29,43,27,1,2,53
2020-05-08,58,22,47,20,1,3,58
2020-05-09,67,38,49,20,3,3,67
2020-05-10,53,27,35,8,2,2,53
2020-05-11,40,20,25,7,1,3,40
2020-05-12,28,17,29,13,1,3,29
2020-05-13,29,15,29,10,2,3,29
2020-05-14,29,13,30,12,1,3,30
2020-05-15,35,18,32,17,1,3,35
2020-05-16,35,17,32,21,2,3,35
2020-05-17,33,15,30,19,1,2,33
2020-05-18,36,16,35,23,1,2,36
2020-05-21,45,12,47,25,1,3,47
