date,pm25,pm10,o3,no2,so2,co,AQI
2019-01-02,49,22,23,26,1,8,49
2019-01-03,59,26,24,31,1,8,59
2019-01-04,55,39,16,31,1,10,55
2019-01-05,92,31,19,29,2,10,92
2019-01-06,81,29,14,31,2,10,81
2019-01-07,73,25,18,37,3,9,73
2019-01-08,60,24,23,27,2,8,60
2019-01-09,50,22,21,30,4,11,50
2019-01-10,46,34,10,29,4,11,46
2019-01-11,73,25,9,30,3,7,73
2019-01-12,60,17,21,31,3,8,60
2019-01-13,49,17,28,23,3,6,49
2019-01-14,29,19,26,26,3,8,29
2019-01-15,40,17,19,44,4,10,44
2019-01-16,37,11,26,40,4,8,40
2019-01-17,32,15,20,31,3,10,32
2019-01-18,36,26,20,46,4,12,46
2019-01-19,50,26,20,31,3,10,50
2019-01-20,62,33,14,34,4,12,62
2019-01-21,98,43,14,40,4,14,98
2019-01-22,111,18,24,34,3,10,111
2019-01-23,41,24,18,36,4,10,41
2019-01-24,61,37,3,51,9,15,61
2019-01-25,95,29,10,41,12,10,95
2019-01-26,85,15,27,34,14,8,85
2019-01-27,50,12,27,20,14,8,50
2019-01-28,40,23,24,30,7,11,40
2019-01-29,43,30,19,47,1,13,47
2019-01-30,48,25,15,38,2,12,48
2019-01-31,56,29,16,49,3,15,56
2019-02-01,54,18,22,32,2,9,54
2019-02-02,60,22,19,19,2,9,60
2019-02-03,87,25,12,31,2,13,87
2019-02-04,57,18,19,37,3,9,57
2019-02-05,59,21,14,36,3,9,59
2019-02-06,66,23,12,39,3,9,66
2019-02-07,74,20,22,31,6,11,74
2019-02-08,44,15,25,36,2,9,44
2019-02-09,45,18,27,29,3,9,45
2019-02-10,43,11,24,30,2,8,43
2019-02-11,31,24,20,39,2,11,39
2019-02-12,44,28,18,41,4,11,44
2019-02-13,38,27,12,28,3,9,38
2019-02-14,52,46,10,53,3,11,53
2019-02-15,86,50,17,55,4,13,86
2019-02-16,120,40,18,45,2,9,120
2019-02-17,97,36,27,36,2,9,97
2019-02-18,81,26,22,41,2,9,81
2019-02-19,53,28,25,43,3,10,53
2019-02-20,54,26,25,40,2,9,54
2019-02-21,62,33,23,42,2,9,62
2019-02-22,60,43,18,42,4,10,60
2019-02-23,72,43,10,40,4,9,72
2019-02-24,93,47,5,41,2,11,93
2019-02-25,123,53,3,55,2,13,123
2019-02-26,128,58,3,61,3,13,128
2019-02-27,139,58,4,59,5,13,139
2019-02-28,141,32,22,29,4,9,141
2019-03-01,90,33,16,26,2,4,90
2019-03-02,82,21,21,21,2,3,82
2019-03-03,54,14,27,16,2,3,54
2019-03-04,46,17,17,26,2,3,46
2019-03-05,37,19,21,26,2,2,37
2019-03-06,40,19,25,18,1,6,40
2019-03-07,49,10,27,30,7,9,49
2019-03-08,28,15,24,28,6,9,28
2019-03-10,33,11,30,24,1,8,33
2019-03-11,36,17,28,24,1,10,36
2019-03-12,34,13,31,27,1,8,34
2019-03-13,36,19,30,25,1,8,36
2019-03-14,45,16,33,27,2,8,45
2019-03-15,36,14,28,34,2,7,36
2019-03-16,31,16,36,27,1,6,36
2019-03-17,34,12,33,29,2,9,34
2019-03-18,35,21,26,34,1,9,35
2019-03-19,43,27,19,39,2,10,43
2019-03-20,55,21,22,38,3,9,55
2019-03-21,50,24,19,33,4,8,50
2019-03-22,54,23,23,36,4,9,54
2019-03-23,56,24,28,28,2,9,56
2019-03-24,57,23,34,26,2,9,57
2019-03-25,62,22,33,24,2,9,62
2019-03-26,42,32,29,38,2,11,42
2019-03-27,67,27,29,35,2,10,67
2019-03-28,58,35,28,52,3,10,58
2019-03-29,74,45,34,46,2,7,74
2019-03-30,82,53,36,42,3,10,82
2019-03-31,113,31,36,25,4,8,113
2019-04-01,33,25,34,33,2,8,34
2019-04-02,36,30,24,43,5,12,43
2019-04-03,67,16,16,27,4,12,67
2019-04-04,54,12,24,18,3,11,54
2019-04-05,29,17,26,19,2,10,29
2019-04-06,37,22,30,25,1,7,37
2019-04-07,55,47,27,15,1,7,55
2019-04-08,129,49,30,29,1,8,129
2019-04-09,133,40,36,27,1,6,133
2019-04-10,101,23,33,30,1,8,101
2019-04-11,56,23,35,35,1,7,56
2019-04-12,47,22,32,36,3,5,47
2019-04-13,62,21,31,28,3,4,62
2019-04-14,57,25,34,25,2,5,57
2019-04-15,51,43,28,33,3,6,51
2019-04-16,67,55,16,36,3,4,67
2019-04-17,77,57,28,41,2,6,77
2019-04-18,86,53,40,46,1,9,86
2019-04-19,64,42,51,44,1,9,64
2019-04-20,67,40,56,38,1,8,67
2019-04-21,61,40,61,27,1,9,61
2019-04-22,72,56,56,46,8,9,72
2019-04-23,116,45,33,44,9,8,116
2019-04-24,88,38,39,43,3,9,88
2019-04-25,47,18,37,40,2,8,47
2019-04-26,26,22,37,35,2,9,37
2019-04-27,30,23,35,24,1,10,35
2019-04-28,29,16,32,20,1,7,32
2019-04-29,33,27,29,33,1,9,33
2019-05-01,82,30,36,37,2,6,82
2019-05-02,57,23,23,30,1,3,57
2019-05-03,31,20,18,26,2,3,31
2019-05-04,41,16,27,13,1,3,41
2019-05-05,34,24,30,16,1,3,34
2019-05-06,49,16,23,23,1,3,49
2019-05-07,45,22,28,41,1,3,45
2019-05-08,62,22,24,39,3,6,62
2019-05-09,64,22,18,32,3,8,64
2019-05-10,63,18,31,42,3,9,63
2019-05-11,57,16,32,29,1,5,57
2019-05-12,60,16,31,28,1,7,60
2019-05-13,45,17,28,35,1,9,45
2019-05-14,41,17,30,30,1,7,41
2019-05-15,42,30,33,26,1,9,42
2019-05-16,73,27,32,18,2,9,73
2019-05-17,63,25,25,29,1,6,63
2019-05-18,59,28,28,34,2,7,59
2019-05-19,73,27,32,30,2,7,73
2019-05-20,84,27,32,31,2,5,84
2019-05-22,36,24,41,50,2,10,50
2019-05-23,44,23,45,44,3,10,45
2019-05-26,32,18,18,20,1,6,32
2019-05-27,34,16,19,21,1,7,34
2019-05-28,33,15,26,24,2,7,33
2019-05-29,31,20,25,36,3,8,36
2019-05-30,41,20,22,30,2,7,41
2019-05-31,44,18,19,32,2,6,44
2019-06-01,34,20,36,46,2,5,46
2019-06-02,38,20,34,47,1,4,47
2019-06-03,35,21,30,50,2,5,50
2019-06-04,38,26,23,42,1,5,42
2019-06-05,42,19,26,34,3,6,42
2019-06-06,43,20,21,34,4,3,43
2019-06-07,35,23,20,29,5,4,35
2019-06-08,36,22,20,25,2,6,36
2019-06-09,34,24,20,29,2,6,34
2019-06-10,30,13,21,27,1,3,30
2019-06-11,50,17,24,26,1,2,50
2019-06-12,30,20,24,26,2,4,30
2019-06-13,34,19,28,35,2,6,35
2019-06-14,31,21,28,36,1,6,36
2019-06-15,36,20,28,30,1,5,36
2019-06-16,36,16,24,25,1,4,36
2019-06-17,31,20,32,41,2,6,41
2019-06-18,34,22,23,42,1,6,42
2019-06-19,48,22,18,37,2,6,48
2019-06-20,46,20,25,37,3,6,46
2019-06-21,39,16,29,35,2,6,39
2019-06-22,40,15,34,33,2,6,40
2019-06-23,34,30,45,21,1,7,45
2019-06-24,58,35,29,39,2,8,58
2019-06-27,38,20,30,30,1,4,38
2019-06-28,39,27,24,26,1,4,39
2019-06-29,45,33,56,44,2,5,56
2019-06-30,66,20,30,22,1,4,66
2019-07-01,42,15,25,18,1,3,42
2019-07-02,40,16,29,23,1,3,40
2019-07-03,58,19,24,30,1,4,58
2019-07-04,44,20,33,37,1,3,44
2019-07-05,48,22,41,44,1,3,48
2019-07-06,61,16,21,21,2,3,61
2019-07-07,50,17,25,26,6,3,50
2019-07-08,49,22,33,39,3,4,49
2019-07-09,49,20,34,42,8,3,49
2019-07-10,49,19,37,47,6,4,49
2019-07-11,50,16,30,33,1,3,50
2019-07-12,43,13,25,16,1,2,43
2019-07-13,45,15,26,19,1,3,45
2019-07-14,52,14,23,18,1,2,52
2019-07-15,46,17,25,23,2,2,46
2019-07-16,41,23,38,35,2,3,41
2019-07-17,51,25,42,60,2,4,60
2019-07-18,57,12,24,20,1,4,57
2019-07-19,36,8,15,22,1,5,36
2019-07-20,22,17,24,8,1,4,24
2019-07-22,24,18,20,8,1,3,24
2019-07-23,36,28,39,40,1,4,40
2019-07-24,50,33,26,53,2,5,53
2019-07-25,68,34,44,37,1,4,68
2019-07-26,64,23,14,28,1,3,64
2019-07-27,54,14,18,24,3,3,54
2019-07-28,37,15,24,18,5,2,37
2019-07-29,23,17,33,14,6,2,33
2019-07-30,41,14,24,13,2,3,41
2019-07-31,61,12,19,13,2,3,61
2019-08-05,59,19,27,25,1,4,59
2019-08-06,53,21,25,26,1,3,53
2019-08-07,50,27,23,28,1,3,50
2019-08-08,50,19,25,33,2,3,50
2019-08-09,48,21,25,24,1,3,48
2019-08-11,51,17,27,19,1,3,51
2019-08-12,48,15,21,25,1,4,48
2019-08-13,43,14,29,30,1,5,43
2019-08-14,31,11,18,29,1,4,31
2019-08-15,34,12,24,25,1,4,34
2019-08-16,34,17,18,26,1,4,34
2019-08-17,34,16,21,18,1,4,34
2019-08-18,35,16,24,15,1,4,35
2019-08-19,37,22,24,23,1,4,37
2019-08-20,38,19,31,36,1,6,38
2019-08-21,54,20,31,33,1,5,54
2019-08-22,51,21,28,35,1,5,51
2019-08-23,56,26,33,39,1,4,56
2019-08-24,65,41,58,52,1,6,65
2019-08-25,102,46,55,53,1,6,102
2019-08-26,117,37,56,54,1,6,117
2019-08-27,98,39,58,62,1,7,98
2019-08-28,96,20,27,34,1,4,96
2019-08-29,53,16,23,30,1,4,53
2019-08-30,45,20,27,31,1,4,45
2019-08-31,52,18,26,27,1,3,52
2019-09-01,55,12,25,20,1,3,55
2019-09-02,41,20,25,32,1,5,41
2019-09-03,49,18,24,32,1,4,49
2019-09-04,46,15,22,22,7,5,46
2019-09-05,44,15,23,27,11,8,44
2019-09-06,46,20,18,34,12,11,46
2019-09-07,52,14,22,21,9,8,52
2019-09-08,46,17,24,22,11,10,46
2019-09-09,48,19,22,39,7,9,48
2019-09-10,57,29,19,33,2,9,57
2019-09-11,63,19,16,30,3,9,63
2019-09-12,49,19,13,28,3,8,49
2019-09-13,51,21,25,31,1,6,51
2019-09-14,52,26,21,44,2,6,52
2019-09-15,67,22,24,30,1,5,67
2019-09-16,59,29,13,24,2,5,59
2019-09-17,66,17,22,27,1,5,66
2019-09-18,44,22,24,32,1,2,44
2019-09-19,41,23,23,42,1,2,42
2019-09-20,47,29,25,42,2,2,47
2019-09-21,53,37,22,39,2,2,53
2019-09-22,52,26,25,34,2,1,52
2019-09-23,45,19,22,31,3,2,45
2019-09-24,36,26,20,17,1,2,36
2019-09-25,29,18,18,18,1,1,29
2019-09-26,37,16,12,35,3,2,37
2019-09-27,43,18,13,34,1,1,43
2019-09-28,40,13,17,29,2,1,40
2019-09-30,35,16,16,32,3,3,35
2019-10-01,42,18,25,30,3,1,42
2019-10-02,47,13,20,24,1,2,47
2019-10-03,43,24,21,43,4,5,43
2019-10-04,56,26,20,36,3,3,56
2019-10-05,59,19,14,27,1,2,59
2019-10-07,45,18,20,39,3,2,45
2019-10-08,47,26,21,40,4,3,47
2019-10-09,52,19,23,40,3,4,52
2019-10-10,44,22,20,41,4,4,44
2019-10-11,45,16,25,28,1,2,45
2019-10-12,44,15,23,48,2,3,48
2019-10-13,46,16,28,34,2,2,46
2019-10-14,31,21,15,36,1,2,36
2019-10-15,41,19,19,51,4,4,51
2019-10-16,44,23,23,47,2,4,47
2019-10-17,54,21,23,59,1,4,59
