date, pm25, pm10, o3, no2, so2, co
2020/7/2, 30, 18, , 18, , 
2020/7/3, 46, 16, , 7, , 
2020/7/4, 46, 8, , 4, , 
2020/7/5, 25, 10, , 6, , 
2020/7/6, 38, 14, , 19, , 
2020/7/7, 42, , , 4, , 
2020/7/11, 46, 18, , 13, , 
2020/7/12, 46, 9, , 4, , 
2020/7/13, 21, 10, , 6, , 
2020/7/14, 30, 10, , 6, , 
2020/7/15, 34, 15, , 22, , 
2020/7/16, 38, 18, , 18, , 
2020/7/17, 38, 12, , 17, , 
2020/7/18, 30, 6, , 4, , 
2020/7/19, 17, 8, , 8, , 
2020/7/20, 25, 12, , 15, , 
2020/7/21, 34, 15, , 15, , 
2020/7/22, 42, , , , , 
2020/6/2, 30, 11, , 9, , 
2020/6/3, 30, 12, , 11, , 
2020/6/4, 30, 17, , 24, , 
2020/6/5, 42, 20, , 10, , 
2020/6/6, 42, 17, , 14, , 
2020/6/7, 25, 14, , 10, , 
2020/6/8, 25, 13, , 14, , 
2020/6/9, 25, 16, , 14, , 
2020/6/10, 25, 10, , 14, , 
2020/6/11, 25, 10, , 14, , 
2020/6/12, 21, 12, , 13, , 
2020/6/13, 30, 10, , 14, , 
2020/6/14, 30, 8, , 7, , 
2020/6/15, 17, 15, , 16, , 
2020/6/16, 30, 12, , 11, , 
2020/6/17, 21, 16, , 10, , 
2020/6/18, 30, 14, , 21, , 
2020/6/19, 21, 11, , 13, , 
2020/6/20, 25, 9, , 8, , 
2020/6/21, 17, 13, , 8, , 
2020/6/22, 34, 10, , , , 
2020/6/23, 25, , , , , 
2020/6/26, 42, 16, , 15, , 
2020/6/27, 46, 14, , 14, , 
2020/6/28, 50, 17, , 8, , 
2020/6/29, 46, 17, , 17, , 
2020/6/30, 42, 17, , 17, , 
2020/7/1, 34, 14, , 11, , 
2020/5/2, 21, 16, , 7, , 
2020/5/3, 21, 10, , 4, , 
2020/5/4, 25, 7, , 14, , 
2020/5/5, 21, 11, , 17, , 
2020/5/6, 25, 12, , 11, , 
2020/5/7, 30, 8, , 10, , 
2020/5/8, 21, 14, , 20, , 
2020/5/9, 38, 13, , 11, , 
2020/5/10, 38, 15, , 6, , 
2020/5/11, 34, 10, , 12, , 
2020/5/12, 21, 9, , 11, , 
2020/5/13, 13, 16, , 11, , 
2020/5/14, 30, 35, , 8, , 
2020/5/15, 50, 14, , 11, , 
2020/5/16, 21, 15, , 13, , 
2020/5/17, 38, 15, , 5, , 
2020/5/18, 34, 20, , 7, , 
2020/5/19, 46, 21, , 8, , 
2020/5/20, 55, 10, , 13, , 
2020/5/21, 30, 10, , 8, , 
2020/5/22, 30, 12, , 22, , 
2020/5/23, 42, 13, , 10, , 
2020/5/24, 38, 10, , 7, , 
2020/5/25, 30, 7, , 8, , 
2020/5/26, 17, 9, , 20, , 
2020/5/27, 25, , , 7, , 
2020/5/29, 21, 5, , 7, , 
2020/5/30, 13, 6, , 10, , 
2020/5/31, 13, 11, , 10, , 
2020/6/1, 34, 9, , 18, , 
2020/4/2, 34, 13, , 25, , 
2020/4/3, 50, 15, , 23, , 
2020/4/4, 53, 16, , 24, , 
2020/4/5, 50, 16, , , , 
2020/4/6, 46, 21, , , , 
2020/4/7, 61, , , 27, , 
2020/4/10, 57, , , , , 
2020/4/14, 57, 12, , 11, , 
2020/4/15, 38, 10, , 5, , 
2020/4/16, 25, 15, , 20, , 
2020/4/17, 42, 9, , 16, , 
2020/4/18, 21, 23, , 10, , 
2020/4/19, 55, 26, , 6, , 
2020/4/20, 61, 13, , 13, , 
2020/4/21, 38, 10, , 6, , 
2020/4/22, 30, 15, , 7, , 
2020/4/23, 50, 17, , 8, , 
2020/4/24, 53, 20, , 26, , 
2020/4/25, 59, 14, , 12, , 
2020/4/26, 50, 10, , 6, , 
2020/4/27, 34, 10, , 11, , 
2020/4/28, 30, 11, , 13, , 
2020/4/29, 34, 16, , 7, , 
2020/4/30, 21, 15, , 12, , 
2020/5/1, 21, 13, , 6, , 
2020/3/2, 85, , , , , 
2020/3/4, 25, 11, , 25, , 
2020/3/5, 34, 20, , 27, , 
2020/3/6, 59, 14, , 23, , 
2020/3/7, 30, 13, , 24, , 
2020/3/8, 42, 10, , 25, , 
2020/3/9, 34, 20, , 27, , 
2020/3/10, 63, 20, , 28, , 
2020/3/11, 59, 20, , 33, , 
2020/3/12, 57, 30, , 27, , 
2020/3/13, 80, 22, , 26, , 
2020/3/14, 57, 20, , 16, , 
2020/3/15, 59, 9, , 4, , 
2020/3/16, 25, 11, , 22, , 
2020/3/17, 30, 23, , 27, , 
2020/3/18, 68, 22, , 24, , 
2020/3/19, 63, 19, , 27, , 
2020/3/20, 57, 27, , 24, , 
2020/3/21, 76, 26, , 12, , 
2020/3/22, 74, 19, , 9, , 
2020/3/23, 59, 10, , 8, , 
2020/3/24, 30, 10, , 9, , 
2020/3/25, 34, 14, , 7, , 
2020/3/26, 42, 7, , 7, , 
2020/3/27, 25, 24, , 8, , 
2020/3/28, 50, , , 14, , 
2020/3/29, 102, , , 13, , 
2020/3/30, 70, 30, , 13, , 
2020/3/31, 55, 6, , 6, , 
2020/4/1, 17, 10, , 14, , 
2020/2/2, 42, , , 22, , 
2020/2/5, 46, 9, , 37, , 
2020/2/6, 13, 14, , 34, , 
2020/2/7, 30, 29, , 38, , 
2020/2/8, 72, 31, , 31, , 
2020/2/9, 76, , , 32, , 
2020/2/10, 117, 27, , 28, , 
2020/2/11, 61, 38, , 21, , 
2020/2/12, 42, 30, , 33, , 
2020/2/13, 50, 26, , 23, , 
2020/2/14, 55, 18, , 30, , 
2020/2/15, 50, 23, , 33, , 
2020/2/16, 61, 28, , 36, , 
2020/2/17, 72, 29, , 26, , 
2020/2/18, 68, 17, , 27, , 
2020/2/19, 42, 24, , 28, , 
2020/2/20, 59, 22, , 35, , 
2020/2/21, 63, 28, , 34, , 
2020/2/22, 68, 39, , 42, , 
2020/2/23, 95, 28, , 24, , 
2020/2/24, 68, 34, , 36, , 
2020/2/25, 70, 31, , 35, , 
2020/2/26, 72, 20, , 27, , 
2020/2/27, 34, 14, , 25, , 
2020/2/28, 38, 10, , 27, , 
2020/2/29, 38, 36, , 38, , 
2020/3/1, 87, 36, , 29, , 
2020/1/2, 182, , , 42, , 
2020/1/3, 162, , , , , 
2020/1/8, 158, 25, , 38, , 
2020/1/9, 70, , , 40, , 
2020/1/10, 153, , , 38, , 
2020/1/11, 160, , , , , 
2020/1/13, 50, 44, , 37, , 
2020/1/14, 102, , , 37, , 
2020/1/15, 151, , , 38, , 
2020/1/16, 154, , , 31, , 
2020/1/17, 114, , , 35, , 
2020/1/18, 147, 17, , 35, , 
2020/1/19, 147, 17, , 22, , 
2020/1/20, 59, 8, , 12, , 
2020/1/21, 21, 13, , 20, , 
2020/1/22, 50, 45, , 37, , 
2020/1/23, 112, , , 37, , 
2020/1/24, 117, , , 36, , 
2020/1/25, 147, 24, , 20, , 
2020/1/26, 70, 33, , 28, , 
2020/1/27, 87, 42, , 31, , 
2020/1/28, 99, 21, , 26, , 
2020/1/29, 34, 30, , 35, , 
2020/1/30, 42, 34, , 33, , 
2020/1/31, 65, 19, , 31, , 
2020/2/1, 59, 13, , 23, , 
2019/10/2, 46, 17, , 26, , 
2019/10/3, 34, 9, , 24, , 
2019/10/4, 13, 14, , 30, , 
2019/10/5, 38, 15, , 22, , 
2019/10/6, 38, 14, , 22, , 
2019/10/7, 42, 10, , 15, , 
2019/10/8, 30, 15, , 35, , 
2019/10/9, 46, 16, , 23, , 
2019/10/10, 42, 17, , 23, , 
2019/10/11, 30, 20, , 24, , 
2019/10/12, 46, 23, , 20, , 
2019/10/13, 55, 18, , 12, , 
2019/10/14, 46, 29, , 27, , 
2019/10/15, 63, 27, , 20, , 
2019/10/16, 55, , , 29, , 
2019/10/18, 38, 20, , 24, , 
2019/10/19, 46, 20, , 22, , 
2019/10/20, 50, 22, , 23, , 
2019/10/21, 53, 26, , 22, , 
2019/10/22, 57, 26, , 24, , 
2019/10/23, 59, 26, , 22, , 
2019/10/24, 59, 30, , 27, , 
2019/10/25, 68, 19, , 16, , 
2019/10/26, 59, 24, , 23, , 
2019/10/27, 63, 26, , 27, , 
2019/10/28, 63, 35, , 32, , 
2019/10/29, 80, 26, , 30, , 
2019/10/30, 68, 19, , 27, , 
2019/10/31, 50, 8, , 10, , 
2019/11/1, 17, 8, , 8, , 
2019/11/2, 21, 18, , 21, , 
2019/11/3, 55, 11, , 17, , 
2019/11/4, 25, 16, , 23, , 
2019/11/5, 21, 13, , , , 
2019/11/6, 25, 10, , , , 
2019/11/7, 25, 20, , 27, , 
2019/11/8, 55, 12, , 27, , 
2019/11/9, 38, 12, , 23, , 
2019/11/10, 38, 16, , 18, , 
2019/11/11, 55, 10, , 20, , 
2019/11/12, 30, 9, , 16, , 
2019/11/13, 21, 13, , 23, , 
2019/11/14, 42, 21, , 26, , 
2019/11/15, 55, 11, , 31, , 
2019/11/16, 34, 10, , 23, , 
2019/11/17, 30, 11, , 26, , 
2019/11/18, 25, 15, , 27, , 
2019/11/19, 46, 14, , 29, , 
2019/11/20, 38, 21, , 31, , 
2019/11/21, 57, 24, , 27, , 
2019/11/22, 61, 41, , 30, , 
2019/11/23, 95, 25, , 24, , 
2019/11/24, 63, 8, , 10, , 
2019/11/25, 21, 12, , 25, , 
2019/11/26, 34, 31, , 35, , 
2019/11/27, 74, 35, , 26, , 
2019/11/28, 80, 16, , 19, , 
2019/11/29, 25, 21, , 33, , 
2019/11/30, 46, 32, , 22, , 
2019/12/1, 68, 35, , 23, , 
2019/12/2, 85, 14, , 27, , 
2019/12/3, 46, 6, , 11, , 
2019/12/4, 17, , , 13, , 
2019/12/7, 151, , , 28, , 
2019/12/8, 117, 28, , 23, , 
2019/12/9, 68, 17, , 31, , 
2019/12/10, 42, 12, , 24, , 
2019/12/11, 38, 10, , 21, , 
2019/12/12, 30, 20, , 23, , 
2019/12/13, 61, 24, , 27, , 
2019/12/14, 72, , , 34, , 
2019/12/15, 147, , , 28, , 
2019/12/16, 129, 45, , 27, , 
2019/12/17, 99, , , 35, , 
2019/12/18, 91, , , 39, , 
2019/12/19, 97, 33, , 29, , 
2019/12/20, 70, 31, , 28, , 
2019/12/21, 65, 12, , 15, , 
2019/12/22, 17, 13, , 30, , 
2019/12/23, 34, 30, , 32, , 
2019/12/24, 65, 45, , 33, , 
2019/12/25, 95, 30, , 23, , 
2019/12/26, 72, 40, , 24, , 
2019/12/27, 107, , , , , 
2019/12/29, 42, 10, , 23, , 
2019/12/30, 38, , , , , 
2019/7/2, 55, 21, , 29, , 
2019/7/3, 57, 25, , 26, , 
2019/7/4, 61, 13, , 8, , 
2019/7/5, 30, 19, , 23, , 
2019/7/6, 55, 20, , 12, , 
2019/7/7, 55, 25, , 13, , 
2019/7/8, 55, 26, , 17, , 
2019/7/9, 57, 25, , 19, , 
2019/7/10, 57, 13, , 6, , 
2019/7/11, 34, 14, , 19, , 
2019/7/12, 34, 19, , 22, , 
2019/7/13, 46, 16, , 15, , 
2019/7/14, 46, 7, , 8, , 
2019/7/15, 17, 8, , 9, , 
2019/7/16, 17, 12, , 7, , 
