date, pm25, pm10, o3, no2, so2, co
1/1/14, ,151,21,69,40,22
1/2/14,233,216,13,70,49,28
1/3/14,252,173,29,52,51,22
1/4/14,268,129,28,50,45,21
1/5/14,189,164,40,59,49,26
1/6/14,252,174,34,49,44,27
1/7/14,274,144,34,33,12,30
1/8/14,335,119,35,33,51,29
1/9/14,278,163,24,45,46,32
1/10/14,321,100,31,38,39,19
1/11/14,245,67,38,30,22,13
1/12/14,178,113,48,35,30,17
1/13/14,233,189,16,54,45,25
1/14/14,344,167,35,49,40,25
1/15/14,305,125,41,40,35,18
1/16/14,242,114,29,57,46,18
1/17/14,199,176,36,57,40,21
1/18/14,330,170,46,50,50,23
1/19/14,317,163,37,59,48,21
1/20/14,290,140,46,45,31,17
1/21/14,241,111,45,41,35,15
1/22/14,171,109,24,46,39,16
1/23/14,182,106,38,47,51,16
1/24/14,184,131,51,56,50,22
1/25/14,205,197,47,50,52,27
1/26/14,330,178,49,57,49,30
1/27/14,387,138,39,43,38,23
1/28/14,303,163,43,46,25,23
1/29/14,374,152,35,30,17,19
1/30/14,396,97,52,42,28,27
1/31/14,246,146,59,41,44,23
2/1/14,284,129,47,33,17,17
2/2/14,271,153,32,38,18,27
2/3/14,301,107,15,24,14,25
2/4/14,242,38,38,15,10,9
2/5/14,146,27,37,14,8,7
2/6/14,135,19,28,14,7,7
2/7/14,122,31,34,16,9,8
2/8/14,132,48,44,13,9,9
2/9/14,159,71,46,13,18,11
2/10/14,187,59,48,16,23,10
2/11/14,171,68,47,25,25,13
2/12/14,176,63,46,26,18,11
2/13/14,166,63,44,20,16,9
2/14/14,180,65,46,33,19,12
2/15/14,175,79,43,31,34,13
2/16/14,184,74,24,35,22,12
2/17/14,183,60,27,20,15,12
2/18/14,179,20,45,17,13,7
2/19/14,133,54,44,33,14,10
2/20/14,147,88,56,37,39,15
2/21/14,177,91,44,40,34,15
2/22/14,170,116,38,50,35,17
2/23/14,176,142,33,46,22,17
2/24/14,233,91,24,36,18,17
2/25/14,211,46,27,23,16,12
2/26/14,276,63,23,30,22,13
2/27/14,167,73,37,30,14,13
2/28/14,168,23,26,20,7,12
3/1/14,120,39,31,19,9,9
3/2/14,138,74,33,26,12,11
3/3/14,185,88,39,34,21,14
3/4/14,192,84,54,39,25,13
3/5/14,185,86,76,37,20,13
3/6/14,175,75,63,30,15,10
3/7/14,175,54,43,28,26,10
3/8/14,152,71,53,32,22,11
3/9/14,166,97,52,47,23,14
3/10/14,187,91,69,37,36,12
3/11/14,174,87,33,38,38,12
3/12/14,167,120,34,24,27,11
3/13/14,185,81,50,25,22,8
3/14/14,156,103,59,46,19,12
3/15/14,171,105,66,45,21,12
3/16/14,169,138,54,52,26,16
3/17/14,192,153,74,46,34,14
3/18/14,182,141,45,52,44,16
3/19/14,185,132,52,22,19,11
3/20/14,191,80,58,24,15,8
3/21/14,167,87,59,38,24,12
3/22/14,161,118,53,57,35,16
3/23/14,186,121,9,58,38,18
3/24/14,196,98,30,41,26,14
3/25/14,190,78,66,34,18,16
3/26/14,179,104,63,49,36,19
3/27/14,186,97,91,42,43,14
3/28/14,173,74,70,42,30,11
3/29/14,148,115,105,33,21,11
3/30/14,168,136,87,42,34,13
3/31/14,178,82,46,36,20,8
4/1/14,157,78,60,44,28,14
4/2/14,149,120,87,55,32,14
4/3/14,180,129,108,48,15,11
4/4/14,175,136,110,37,25,13
4/5/14,200,162,88,64,16,15
4/6/14,226,93,54,34,28,12
4/7/14,166,76,52,34,21,10
4/8/14,174,113,65,55,29,15
4/9/14,194,115,92,54,23,16
4/10/14,191,99,82,45,32,11
4/11/14,163,77,61,33,23,12
4/12/14,152,31,47,18,6,9
4/13/14,130,57,47,21,7,9
4/14/14,154,75,89,31,16,10
4/15/14,154,66,47,33,21,12
4/16/14,157,33,41,22,7,9
4/17/14,110,47,53,31,9,11
4/18/14,137,65,42,29,21,12
4/19/14,151,24,61,16,7,7
4/20/14,88,65,55,28,12,10
4/21/14,156,32,41,26,7,9
4/22/14,103,59,60,24,11,9
4/23/14,154,67,45,35,29,11
4/24/14,159,71,32,34,25,12
4/25/14,164,71,23,33,19,12
4/26/14,173,48,56,19,10,7
4/27/14,123,84,83,22,11,6
4/28/14,149,97,85,46,13,8
4/29/14,146,102,72,53,25,12
4/30/14,162,95,69,42,21,7
5/1/14,151,185,90,53,18,13
5/2/14,175,169,53,36,14,9
5/3/14,171, , , , , 
5/4/14, ,87,38,26,10,6
5/5/14,158,102,72,34,25,12
5/6/14,151,102,94,45,24,9
5/7/14,152,116,76,52,19,8
5/8/14,162,141,93,42,29,13
5/9/14,181,70,55,25,26,8
