date, pm25, pm10, o3, no2, so2, co
2020/7/2, 139, 87, 17, 13, 9, 14
2020/7/3, 147, 93, 13, 14, 10, 14
2020/7/4, 155, 71, 10, 11, 9, 12
2020/7/5, 125, 43, 11, 10, 8, 12
2020/7/6, 85, 68, 5, 12, 8, 12
2020/7/7, 143, 51, 10, 8, 8, 12
2020/7/8, 79, 50, 5, 10, 8, 13
2020/7/9, 91, 58, 5, 12, 10, 12
2020/7/10, 118, 57, 5, 12, 11, 14
2020/7/11, 85, 49, 7, 13, 8, 12
2020/7/12, 78, 42, 2, 12, 6, 10
2020/7/13, 72, 72, 4, 14, 7, 11
2020/7/14, 90, 85, 2, 12, 9, 12
2020/7/15, 106, 69, 25, 10, 8, 11
2020/7/16, 120, 60, 4, 12, 8, 11
2020/7/17, 106, 63, 5, 12, 7, 12
2020/7/18, 132, 66, 4, 12, 8, 11
2020/7/19, 119, 45, 2, 11, 8, 10
2020/7/20, 97, 53, 8, 13, 8, 11
2020/7/21, 77, 45, 3, 12, 7, 10
2020/7/22, 90, 39, 3, 12, 7, 10
2020/7/23, 97, , , , , 
2020/6/2, 105, , , , , 
2020/6/4, 139, 104, 10, 18, 9, 14
2020/6/5, 156, 72, 36, 13, 9, 13
2020/6/6, 117, 68, 43, 14, 9, 12
2020/6/7, 105, 64, 25, 12, 9, 11
2020/6/8, 102, 78, 30, 13, 11, 13
2020/6/9, 131, 87, 21, 16, 11, 14
2020/6/10, 142, 113, 16, 21, 10, 15
2020/6/11, 134, 82, 12, 14, 10, 13
2020/6/12, 135, 90, 10, 14, 10, 14
2020/6/13, 150, 76, 8, 15, 8, 13
2020/6/14, 141, 83, 5, 13, 11, 15
2020/6/15, 148, 82, 24, 12, 13, 13
2020/6/16, 130, 76, 28, 14, 10, 13
2020/6/17, 108, 68, 20, 11, 10, 12
2020/6/18, 102, 69, 15, 12, 10, 13
2020/6/19, 111, 119, 11, 13, 9, 13
2020/6/20, 138, 74, 12, 13, 12, 12
2020/6/21, 105, 73, 9, 15, 11, 13
2020/6/22, 121, 62, 18, 13, 11, 14
2020/6/23, 123, 72, 6, 11, 10, 13
2020/6/24, 99, 67, 8, 9, 12, 11
2020/6/25, 98, , , , , 
2020/6/27, 114, 102, 5, 14, 11, 13
2020/6/28, 117, 175, 6, 14, 11, 12
2020/6/29, 128, 111, 9, 12, 9, 11
2020/6/30, 111, 85, 11, 11, 10, 11
2020/7/1, 135, 80, 14, 11, 9, 12
2020/5/2, 151, 79, 22, 9, 5, 13
2020/5/3, 99, 62, 13, 9, 5, 12
2020/5/4, 96, 45, 23, 9, 5, 13
2020/5/5, 81, 72, 23, 12, 6, 13
2020/5/6, 126, 106, 26, 11, 6, 13
2020/5/7, 144, 58, 32, 10, 5, 13
2020/5/8, 93, 76, 36, 11, 5, 13
2020/5/9, 124, 83, 33, 10, 6, 13
2020/5/10, 140, 103, 42, 10, 5, 11
2020/5/11, 114, 68, 36, 11, 5, 11
2020/5/12, 120, 70, 34, 11, 6, 12
2020/5/13, 123, 104, 32, 12, 6, 15
2020/5/14, 159, 81, 28, 12, 6, 13
2020/5/15, 144, 74, 28, 13, 6, 14
2020/5/16, 125, 89, 34, 15, 6, 14
2020/5/17, 152, 113, 37, 17, 8, 13
